Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,TCP,UDP,Tot sum,Min,Max,AVG,Std,IAT,Number
20.8,6.0,134.8,233.2683,0.0,0.0,0.0,0.0,0.6,6.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.2,636.0,60.0,66.0,63.6,3.0983868,0.0043405057,10.0
32.0,6.0,64.0,1657.5001,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15140.0,1514.0,1514.0,1514.0,0.0,0.0006036997,10.0
17.6,17.0,81.3,75.72491,0.0,0.0,0.0,0.2,0.4,4.0,0.0,0.0,0.0,0.0,0.4,0.3,0.4,0.6,1115.0,60.0,230.0,111.5,57.58906,0.013258505,10.0
29.6,6.0,99.9,61.572556,0.0,0.0,0.0,0.2,0.9,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.1,13909.0,66.0,2962.0,1390.9,1036.7246,0.016264891,10.0
26.4,6.0,124.3,203.06975,0.1,0.0,0.0,0.2,0.8,8.0,0.0,1.0,0.0,0.0,0.8,0.0,0.8,0.1,9741.0,66.0,5858.0,974.1,1812.8137,0.004924512,10.0
17.6,6.0,44.3,24.674364,0.0,0.1,0.0,0.2,0.4,4.0,1.0,0.0,0.0,0.1,0.4,0.1,0.5,0.1,5720.0,60.0,3576.0,572.0,1148.2129,0.041202404,10.0
29.6,6.0,116.5,85.03111,0.0,0.0,0.0,0.1,0.9,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.1,10467.0,66.0,1514.0,1046.7,660.57587,0.011778402,10.0
32.0,6.0,113.6,101.97849,0.0,0.0,0.0,0.2,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17163.0,66.0,4410.0,1716.3,1978.1417,0.014644885,10.0
32.0,6.0,114.4,273.6653,0.0,0.0,0.0,0.1,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38414.0,66.0,15994.0,3841.4,5016.58,0.0052960874,10.0
10.4,17.0,60.4,6881.549,0.0,0.0,0.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,12605.0,77.0,1392.0,1260.5,415.8395,0.0001454115,10.0
24.8,6.0,133.5,194.31389,0.0,0.0,0.0,0.0,0.7,7.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.3,6428.0,60.0,1474.0,642.8,716.84875,0.005185199,10.0
12.0,17.0,74.5,221.58203,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.7,888.0,60.0,336.0,88.8,86.893036,0.0046188114,10.0
16.0,6.0,48.8,311.09015,0.0,0.0,0.0,0.0,0.4,4.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,4968.0,60.0,1514.0,496.8,701.93713,0.0067700865,10.0
29.6,6.0,149.4,994.54724,0.0,0.0,0.0,0.0,0.9,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.1,6616.0,66.0,1514.0,661.6,735.32446,0.0010144949,10.0
32.0,6.0,64.0,558.8754,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15140.0,1514.0,1514.0,1514.0,0.0,0.0018064022,10.0
26.8,6.0,85.1,60.022896,0.2,0.1,0.0,0.2,0.8,8.0,1.0,2.0,0.0,0.2,0.5,0.1,0.8,0.2,1148.0,66.0,317.0,114.8,85.63722,0.016702104,10.0
30.8,6.0,233.4,581.8392,0.0,0.0,0.0,0.1,1.0,10.0,0.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0,679.0,66.0,85.0,67.9,6.0083275,0.0042680977,10.0
27.2,6.0,99.5,128.4933,0.0,0.0,0.0,0.2,0.9,9.0,0.0,0.0,0.0,0.0,0.7,0.0,0.9,0.1,9626.0,66.0,1514.0,962.6,712.9518,0.007843805,10.0
20.0,6.0,150.1,154.06868,0.0,0.0,0.0,0.2,0.5,5.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.5,1192.0,60.0,427.0,119.2,120.1941,0.0069427965,10.0
32.0,6.0,130.8,279.08813,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7900.0,66.0,1514.0,790.0,763.163,0.0035917044,10.0
16.8,17.0,116.3,130.78917,0.0,0.0,0.0,0.0,0.4,4.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.5,2264.0,60.0,1514.0,226.4,454.9108,0.0076855896,10.0
27.2,6.0,63.6,171.02226,0.0,0.0,0.0,0.2,0.8,8.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.2,12807.0,60.0,3447.0,1280.7,1222.8384,0.0058568,10.0
32.0,6.0,231.0,39235.773,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,660.0,66.0,66.0,66.0,0.0,0.000025582314,10.0
32.0,6.0,64.0,269.42694,0.0,0.0,0.0,0.2,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12395.0,111.0,1514.0,1239.5,578.87537,0.004067898,10.0
12.0,17.0,108.2,48.0679,0.0,0.0,0.0,0.1,0.2,2.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.7,1266.0,60.0,352.0,126.6,95.40463,0.022118688,10.0
