Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,TCP,UDP,Tot sum,Min,Max,AVG,Std,IAT,Number
8.48,17.0,64.0,13163.144,0.0,0.0,0.0,0.01,0.02,2.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.98,6263.0,60.0,317.0,62.63,25.700943,0.0000759697,100.0
0.0,1.0,64.0,3591.0444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93800.0,362.0,1514.0,938.0,578.9018,0.00027848006,100.0
7.92,17.0,66.55,16575.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.99,6167.0,60.0,217.0,61.67,15.721731,0.000060341357,100.0
3.84,17.0,64.0,392.6387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,91496.0,362.0,1514.0,914.96,578.4385,0.0025468802,100.0
9.72,6.0,67.18,811.8144,0.0,0.01,0.0,0.0,0.47,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.48,0.01,90208.0,60.0,1514.0,902.08,580.94556,0.0012357902,100.0
4.08,17.0,64.0,3450.6536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.51,91786.0,60.0,1514.0,917.86,589.283,0.00029000043,100.0
7.92,17.0,64.0,13217.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,6018.0,60.0,78.0,60.18,1.8,0.00007565975,100.0
9.96,6.0,63.58,809.10046,0.0,0.01,0.0,0.01,0.49,49.0,1.0,0.0,0.0,0.0,0.01,0.0,0.49,0.0,89462.0,60.0,1514.0,894.62,589.81,0.00123595,100.0
20.12,6.0,65.72,18957.307,0.99,0.0,0.99,0.01,0.01,1.0,0.0,99.0,99.0,0.99,0.01,0.0,1.0,0.0,6053.0,60.0,113.0,60.53,5.3,0.000052762032,100.0
8.24,17.0,63.86,46402.3,0.01,0.0,0.0,0.0,0.01,1.0,0.0,1.0,0.0,0.01,0.0,0.0,0.01,0.99,6006.0,60.0,66.0,60.06,0.6,0.000021820068,100.0
20.12,6.0,65.71,23668.55,0.0,1.0,0.0,0.0,0.01,1.0,100.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,6006.0,60.0,66.0,60.06,0.6,0.000042250158,100.0
20.0,6.0,64.0,30761.305,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6000.0,60.0,60.0,60.0,0.0,0.00003287792,100.0
23.08,6.0,64.0,15267.004,0.0,1.0,0.0,0.0,0.77,77.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6000.0,60.0,60.0,60.0,0.0,0.00006631136,100.0
20.0,6.0,64.0,23386.139,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6000.0,60.0,60.0,60.0,0.0,0.00004283905,100.0
0.32,1.0,63.86,7666.43,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,6006.0,60.0,66.0,60.06,0.6,0.00013044834,100.0
10.24,6.0,65.68,1057.0829,0.0,0.01,0.0,0.0,0.51,51.0,1.0,0.0,0.0,0.0,0.01,0.0,0.51,0.0,94086.0,60.0,1514.0,940.86,576.87396,0.00095229864,100.0
20.04,6.0,65.73,60937.15,0.99,0.01,0.99,0.0,0.01,1.0,1.0,99.0,99.0,0.0,0.0,0.0,1.0,0.0,6000.0,60.0,60.0,60.0,0.0,0.000016419888,100.0
20.0,6.0,64.0,27554.225,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6000.0,60.0,60.0,60.0,0.0,0.000040860177,100.0
10.48,6.0,64.0,2860.9946,0.0,0.02,0.0,0.0,0.48,48.0,2.0,0.0,0.0,0.0,0.02,0.0,0.5,0.0,91252.0,78.0,1514.0,912.52,582.85114,0.00034955025,100.0
19.88,6.0,64.0,18172.107,0.0,0.99,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,6276.0,60.0,336.0,62.76,27.6,0.000055048466,100.0
20.0,6.0,64.0,29289.832,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6000.0,60.0,60.0,60.0,0.0,0.0000345397,100.0
20.0,6.0,64.0,17134.994,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6000.0,60.0,60.0,60.0,0.0,0.00005844116,100.0
7.92,17.0,63.36,13010.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,6000.0,60.0,60.0,60.0,0.0,0.000076858996,100.0
4.72,17.0,66.9,1441.297,0.0,0.02,0.0,0.0,0.02,2.0,2.0,0.0,0.0,0.0,0.02,0.0,0.02,0.49,90316.0,60.0,1514.0,903.16,592.5793,0.00069437025,100.0
0.0,1.0,63.9,19893.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6038.0,60.0,98.0,60.38,3.8,0.000050280094,100.0
