Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,TCP,UDP,Tot sum,Min,Max,AVG,Std,IAT,Number
19.2,6.0,88.6,38.720097,0.0,0.1,0.0,0.1,0.4,4.0,1.0,0.0,0.0,0.3,0.2,0.2,0.5,0.3,934.0,60.0,230.0,93.4,55.81756,0.02988999,10.0
32.0,6.0,64.0,737.3563,0.0,0.0,0.0,0.1,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28752.0,646.0,7306.0,2875.2,2020.4255,0.0038855076,10.0
32.0,6.0,130.4,73.464035,0.0,0.0,0.0,0.4,1.0,10.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,2040.0,66.0,1239.0,204.0,365.90012,0.013612295,10.0
19.6,17.0,134.1,60.908745,0.0,0.1,0.0,0.1,0.3,3.0,1.0,0.0,0.0,0.0,0.3,0.4,0.4,0.6,1047.0,66.0,230.0,104.7,54.328323,0.017923784,10.0
25.6,6.0,136.6,136.92244,0.0,0.2,0.0,0.4,0.8,8.0,2.0,0.0,0.0,0.7,0.0,0.1,0.9,0.1,1876.0,60.0,473.0,187.6,183.66588,0.010299611,10.0
22.8,6.0,88.4,540.04376,0.0,0.7,0.3,0.0,0.3,3.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,600.0,60.0,60.0,60.0,0.0,0.0018669128,10.0
24.0,6.0,80.8,81.4757,0.0,0.0,0.0,0.5,0.8,8.0,0.0,0.0,0.0,0.2,0.1,0.0,0.8,0.1,1228.0,60.0,230.0,122.8,59.03257,0.01617,10.0
23.2,6.0,112.4,562.3673,0.0,0.5,0.4,0.0,0.5,5.0,5.0,0.0,4.0,0.0,0.1,0.0,1.0,0.0,606.0,60.0,66.0,60.6,1.8973666,0.0017782927,10.0
24.8,6.0,130.2,1329.9629,0.1,0.3,0.4,0.1,0.7,7.0,3.0,1.0,4.0,0.0,0.3,0.0,1.0,0.0,625.0,60.0,73.0,62.5,4.453463,0.0011354923,10.0
21.2,6.0,82.2,734.4769,0.0,0.5,0.3,0.0,0.4,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.9,0.0,606.0,60.0,66.0,60.6,1.8973666,0.0013718128,10.0
21.2,6.0,113.3,591.5469,0.0,0.6,0.3,0.0,0.3,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.9,0.1,600.0,60.0,60.0,60.0,0.0,0.0020053864,10.0
22.8,6.0,119.3,658.67395,0.0,0.3,0.7,0.0,0.7,7.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,614.0,60.0,74.0,61.4,4.427189,0.0015300035,10.0
18.8,6.0,107.1,57.818577,0.0,0.2,0.0,0.2,0.4,4.0,2.0,0.0,0.0,0.3,0.1,0.1,0.5,0.3,1218.0,60.0,235.0,121.8,75.4259,0.017912483,10.0
20.0,6.0,255.0,1140.5004,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,600.0,60.0,60.0,60.0,0.0,0.00094759464,10.0
23.6,6.0,47.1,67.99938,0.2,0.1,0.0,0.2,0.7,7.0,1.0,2.0,0.0,0.0,0.7,0.0,0.7,0.2,916.0,60.0,321.0,91.6,80.72752,0.017509008,10.0
32.0,6.0,80.8,736.74756,0.0,0.0,0.0,0.1,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21022.0,66.0,10202.0,2102.2,2905.214,0.0015675068,10.0
22.0,6.0,114.9,1271.1553,0.0,0.5,0.5,0.0,0.5,5.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,600.0,60.0,60.0,60.0,0.0,0.00078949926,10.0
24.0,6.0,44.7,440.50876,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600.0,60.0,60.0,60.0,0.0,0.002270198,10.0
18.8,6.0,255.0,367.75687,0.0,0.0,0.9,0.0,0.9,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.9,0.1,746.0,60.0,206.0,74.6,46.169254,0.002720499,10.0
22.4,6.0,130.6,381.9114,0.1,0.0,0.0,0.2,0.6,6.0,0.0,1.0,0.0,0.0,0.6,0.0,0.6,0.4,2625.0,66.0,523.0,262.5,219.69234,0.0026186942,10.0
10.4,17.0,64.0,99.86414,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.2,0.1,0.8,650.0,60.0,86.0,65.0,8.956686,0.010496711,10.0
21.6,6.0,101.1,284.94882,0.0,0.3,0.4,0.1,0.6,6.0,3.0,0.0,4.0,0.0,0.0,0.0,0.9,0.0,639.0,60.0,93.0,63.9,10.397115,0.004069805,10.0
16.8,17.0,67.6,18.788023,0.0,0.0,0.0,0.2,0.4,4.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.5,1037.0,60.0,215.0,103.7,47.548923,0.053267814,10.0
18.8,6.0,105.0,73.959656,0.0,0.0,0.0,0.2,0.5,5.0,0.0,0.0,0.0,0.0,0.3,0.1,0.5,0.2,2858.0,60.0,1494.0,285.8,438.01492,0.01690719,10.0
9.2,17.0,67.6,212.08418,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.9,751.0,60.0,183.0,75.1,38.771267,0.004715109,10.0
